

============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5  dif0    dif1    dif2    dif3    dif4    dif5   
    9       7       0      10      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   10       8       0      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   11       9       0      12      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   12      10       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5  dif0    dif1    dif2    dif3    dif4    dif5   
    0       0       1       1       4       4       3       3       1       0       3       2       4       1       5   
    1       3       0       7      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    2       3       1      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    3       4       0       5      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    4       4       0       6      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    5       5       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    6       5       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    7       6       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    8       6       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    9       7       0      10      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   10       8       0      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   11       9       0      12      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   12      10       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5  dif0    dif1    dif2    dif3    dif4    dif5   
    0       0       1       1       5       5       3       3       1       0       3       2       4       1       5   
    1       3       0       4      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    2       3       1      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    3       4       0       7      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    4       4       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    5       4       0       6      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    6       5       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    7       5       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    8       6       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    9       7       0      10      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   10       8       0      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   11       9       0      12      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   12      10       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5  dif0    dif1    dif2    dif3    dif4    dif5   
    0       1       1       1       5       5       3       3       1       0       3       2       4       1       5   
    1       3       0       4      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    2       3       1      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    3       4       0       7      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    4       4       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    5       4       0       6      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    6       5       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    7       5       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    8       6       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    9       7       0      10      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   10       8       0      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   11       9       0      12      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   12      10       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5  dif0    dif1    dif2    dif3    dif4    dif5   
    0       0       1       5       3       3       1       1       5       0       3       2       4       1       5   
    1       1       0       4      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    2       3       1      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    3       4       0       6      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    4       4       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    5       5       0       7      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    6       5       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    7       6       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    8       6       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    9       7       0      10      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   10       8       0      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   11       9       0      12      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   12      10       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5  dif0    dif1    dif2    dif3    dif4    dif5   
    0       0       1       5       4       4       1       1       5       0       3       2       4       1       5   
    1       1       0       2      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    2       3       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    3       3       1      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    4       4       0       6      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    5       5       0       7      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    6       5       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    7       6       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    8       6       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    9       7       0      10      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   10       8       0      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   11       9       0      12      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   12      10       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5  dif0    dif1    dif2    dif3    dif4    dif5   
    0       0       1       5       3       3       1       1       5       0       3       2       4       1       5   
    1       3       0       4      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    2       3       1      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    3       4       0       6      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    4       4       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    5       5       0       7      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    6       5       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    7       6       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    8       6       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    9       7       0      10      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   10       8       0      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   11       9       0      12      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   12      10       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5  dif0    dif1    dif2    dif3    dif4    dif5   
    0       0       1       2       5       5       1       1       2       0       3       2       4       1       5   
    1       3       0       7      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    2       3       0       4      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    3       3       1      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    4       4       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    5       4       0       6      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    6       5       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    7       5       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    8       6       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    9       7       0      10      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   10       8       0      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   11       9       0      12      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   12      10       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5  dif0    dif1    dif2    dif3    dif4    dif5   
    0       0       1       2       6       6       1       1       2       0       3       2       4       1       5   
    1       3       0       4      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    2       3       0       5      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    3       3       1      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    4       4       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    5       4       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    6       4       0       7      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    7       5       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    8       6       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    9       7       0      10      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   10       8       0      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   11       9       0      12      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   12      10       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 1个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5  dif0    dif1    dif2    dif3    dif4    dif5   
    0       2       1      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    1       3       1       5       2       2       3       3       5       0       3       2       4       1       5   
    2       4       0       4      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    3       4       0       6      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    4       5       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    5       5       0       7      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    6       5       0       8      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    7       6       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    8       6       0       9      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
    9       7       0      10      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   10       8       0      11      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   11       9       0      12      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1   
   12      10       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1       3      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1       3      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       1       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    4       3       1       9       6       6       5       5       9      19       0       3       2       4       1       5       3   
    5       4       0       7      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       4       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       5       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       5       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       5       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       5       1      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       6       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       6       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       6       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       7       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       8       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   16       9       0      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17       9       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1       2      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1       2      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       1       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       2       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    4       3       1       9       6       6       5       5       9      19       0       3       2       4       1       5       3   
    5       4       0       7      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       4       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       5       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       5       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       5       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       5       1      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       6       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       6       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       6       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       7       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       8       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   16       9       0      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17       9       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1       4      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       0       1       4      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    4       1       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    5       3       1       9       6       6       7       7       9      19       0       3       2       4       1       5       3   
    6       4       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       4       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       5       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       5       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       5       1      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       5       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       6       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       6       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       7       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       8       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   16       9       0      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17       9       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1       4      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1       4      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       1       1       9       6       6       5       5       9      19       0       3       2       4       1       5       3   
    4       1       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    5       4       0       7      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       4       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       5       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       5       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       5       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       5       1      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       6       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       6       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       6       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       7       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       8       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   16       9       0      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17       9       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1       5      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1       5      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       1       1      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    4       1       1       8       6       6       7       7       8      19       0       3       2       4       1       5       3   
    5       1       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       4       0      10      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       4       0       9      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       5       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       5       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       5       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       6       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       6       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       6       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       7       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       8       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   16       9       0      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17       9       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1       4      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       0       1       4      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    4       1       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    5       2       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       3       1       9       5       5       7       7       9      19       0       3       2       4       1       5       3   
    7       4       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       5       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       5       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       5       1      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       5       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       6       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       6       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       7       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       8       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   16       9       0      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17       9       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1       7      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1       7      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1       6      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       0       1       6      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    4       1       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    5       1       1       9       4       4       8       8       9      19       0       3       2       4       1       5       3   
    6       1       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       2       0      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       4       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       5       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
